,uid,first_seen,last_seen,stream_count,comment_count
180352443,180352443,2021-02-25,2022-05-08,114,294
23041210,23041210,2021-02-28,2022-05-11,21,65
5264099,5264099,2021-03-18,2022-05-11,75,739
178711123,178711123,2021-03-04,2022-05-08,17,21
34214203,34214203,2021-03-04,2022-05-11,32,142
4043958,4043958,2020-12-11,2022-05-11,48,239
13085881,13085881,2021-03-18,2022-05-11,53,278
383842558,383842558,2021-02-27,2022-05-11,27,68
24265641,24265641,2021-03-18,2022-05-08,267,1941
17778657,17778657,2021-03-19,2022-05-11,81,342
399322098,399322098,2021-03-19,2022-05-11,142,585
290360695,290360695,2021-03-19,2022-05-11,251,1015
479387,479387,2021-02-25,2022-05-11,61,1245
92157674,92157674,2021-03-19,2022-05-11,27,48
35904554,35904554,2021-03-19,2022-05-11,100,159
39930458,39930458,2021-03-19,2022-05-11,218,1707
171971779,171971779,2021-02-28,2022-05-11,95,360
131396611,131396611,2021-03-19,2022-05-11,155,3934
129278095,129278095,2021-03-04,2022-05-11,82,414
12252694,12252694,2021-03-19,2022-05-08,125,207
34897139,34897139,2021-03-19,2022-05-11,37,93
14129190,14129190,2021-03-19,2022-05-11,98,1241
8674416,8674416,2021-03-19,2022-05-11,24,52
34356841,34356841,2021-03-19,2022-05-08,324,13177
8654924,8654924,2021-03-03,2022-05-08,26,74
13594486,13594486,2021-03-20,2022-05-08,82,1335
8429996,8429996,2021-02-17,2022-05-11,28,143
